instruction_name,file_name,line_no,is_vector
"  %48 = getelementptr inbounds double# double* %3# i64 %47",,,0
"  %50 = getelementptr inbounds double# double* %4# i64 %49",,,0
"  %53 = getelementptr inbounds double# double* %5# i64 %49",,,0
"  %69 = getelementptr inbounds double# double* %4# i64 %68",,,0
"  %76 = getelementptr inbounds double# double* %4# i64 %75",,,0
"  %80 = getelementptr inbounds double# double* %2# i64 %79",,,0
"  %85 = getelementptr inbounds double# double* %2# i64 %84",,,0
"  %91 = getelementptr inbounds double# double* %2# i64 %90",,,0
"  %95 = getelementptr inbounds double# double* %5# i64 %68",,,0
"  %103 = getelementptr inbounds double# double* %5# i64 %75",,,0
"  %110 = getelementptr inbounds double# double* %3# i64 %109",,,0
"  %120 = getelementptr inbounds double# double* %4# i64 %119",,,0
"  %126 = getelementptr inbounds double# double* %3# i64 %125",,,0
"  %129 = getelementptr inbounds double# double* %5# i64 %119",,,0
"  %135 = getelementptr inbounds double# double* %3# i64 %134",,,0
"  %146 = getelementptr inbounds double# double* %2# i64 %145",,,0
"  %147 = getelementptr inbounds double# double* %4# i64 %145",,,0
"  %150 = getelementptr inbounds double# double* %5# i64 %145",,,0
"  %166 = getelementptr inbounds double# double* %4# i64 %165",,,0
"  %173 = getelementptr inbounds double# double* %4# i64 %172",,,0
"  %176 = getelementptr inbounds double# double* %3# i64 %175",,,0
"  %179 = getelementptr inbounds double# double* %3# i64 %172",,,0
"  %185 = getelementptr inbounds double# double* %3# i64 %184",,,0
"  %189 = getelementptr inbounds double# double* %5# i64 %165",,,0
"  %197 = getelementptr inbounds double# double* %5# i64 %172",,,0
"  %204 = getelementptr inbounds double# double* %2# i64 %203",,,0
"  %213 = getelementptr inbounds double# double* %4# i64 %212",,,0
"  %218 = getelementptr inbounds double# double* %2# i64 %217",,,0
"  %221 = getelementptr inbounds double# double* %5# i64 %212",,,0
"  %224 = getelementptr inbounds double# double* %2# i64 %212",,,0
"  %27 = getelementptr inbounds [40 x i8]# [40 x i8]* %7# i64 0# i64 0",,,0
"  %28 = getelementptr inbounds [40 x i8]# [40 x i8]* %8# i64 0# i64 0",,,0
"  %29 = getelementptr inbounds [40 x i8]# [40 x i8]* %9# i64 0# i64 0",,,0
"  %30 = getelementptr inbounds [40 x i8]# [40 x i8]* %10# i64 0# i64 0",,,0
"  %59 = getelementptr inbounds double# double* %3# i64 %58",,,0
"  %61 = getelementptr inbounds double# double* %4# i64 %60",,,0
"  %64 = getelementptr inbounds double# double* %5# i64 %60",,,0
"  %80 = getelementptr inbounds double# double* %4# i64 %79",,,0
"  %87 = getelementptr inbounds double# double* %4# i64 %86",,,0
"  %91 = getelementptr inbounds double# double* %2# i64 %90",,,0
"  %96 = getelementptr inbounds double# double* %2# i64 %95",,,0
"  %102 = getelementptr inbounds double# double* %2# i64 %101",,,0
"  %106 = getelementptr inbounds double# double* %5# i64 %79",,,0
"  %114 = getelementptr inbounds double# double* %5# i64 %86",,,0
"  %121 = getelementptr inbounds double# double* %3# i64 %120",,,0
"  %131 = getelementptr inbounds double# double* %4# i64 %130",,,0
"  %137 = getelementptr inbounds double# double* %3# i64 %136",,,0
"  %140 = getelementptr inbounds double# double* %5# i64 %130",,,0
"  %146 = getelementptr inbounds double# double* %3# i64 %145",,,0
"  %157 = getelementptr inbounds double# double* %2# i64 %156",,,0
"  %158 = getelementptr inbounds double# double* %4# i64 %156",,,0
"  %161 = getelementptr inbounds double# double* %5# i64 %156",,,0
"  %177 = getelementptr inbounds double# double* %4# i64 %176",,,0
"  %184 = getelementptr inbounds double# double* %4# i64 %183",,,0
