instruction_name,file_name,line_no,is_vector
"  %21 = add nsw i32 %1# -1",,,0
"  %23 = add nsw i32 %1# -2",,,0
"  %29 = mul nsw i32 %21# %1",,,0
"  %30 = add nsw i32 %1# -2",,,0
"  %35 = sext i32 %30 to i64",,,0
"  %36 = sext i32 %29 to i64",,,0
"  %37 = sext i32 %1 to i64",,,0
"  %38 = sext i32 %1 to i64",,,0
"  %39 = sext i32 %21 to i64",,,0
"  %40 = sext i32 %1 to i64",,,0
"  %41 = sext i32 %1 to i64",,,0
"  %relidx_ = sub i64 %47# %phidx_42",,,0
"  %48 = mul nsw i64 %47# %37",,,0
"  %relidx_143 = sub i64 %48# %phidx_78",,,0
"  %relidx_145 = sub i64 %48# %phidx_114",,,0
"  %53 = add i64 %48# 4294967295",,,0
"  %54 = add i64 %47# 4294967295",,,0
"  %55 = add nuw nsw i64 %47# 1",,,0
"  %56 = trunc i64 %48 to i32",,,0
"  %57 = trunc i64 %54 to i32",,,0
"  %58 = trunc i64 %47 to i32",,,0
"  %59 = trunc i64 %55 to i32",,,0
"  %63 = add i64 %53# %61",,,0
"  %64 = shl i64 %63# 32",,,0
"  %65 = ashr exact i64 %64# 32",,,0
"  %relidx_153 = sub i64 %65# %phidx_86",,,0
"  %70 = add nsw i32 %62# %56",,,0
"  %71 = sext i32 %70 to i64",,,0
"  %relidx_155 = sub i64 %71# %65",,,0
"  %72 = mul nsw i32 %62# %1",,,0
"  %73 = add nsw i32 %57# %72",,,0
"  %74 = sext i32 %73 to i64",,,0
"  %relidx_147 = sub i64 %74# %phidx_14",,,0
"  %77 = add nsw i32 %72# %58",,,0
"  %78 = sext i32 %77 to i64",,,0
"  %relidx_149 = sub i64 %78# %74",,,0
"  %82 = add nsw i32 %59# %72",,,0
"  %83 = sext i32 %82 to i64",,,0
"  %relidx_151 = sub i64 %83# %78",,,0
"  %relidx_157 = sub i64 %65# %phidx_122",,,0
"  %relidx_159 = sub i64 %71# %65",,,0
"  %94 = add nuw nsw i64 %61# 1",,,0
"  %95 = add nuw nsw i32 %62# 1",,,0
"  %99 = add nsw i64 %47# %36",,,0
"  %relidx_161 = sub i64 %99# %phidx_48",,,0
"  %101 = trunc i64 %48 to i32",,,0
"  %102 = trunc i64 %47 to i32",,,0
"  %103 = trunc i64 %47 to i32",,,0
"  %107 = add nsw i32 %106# %101",,,0
"  %108 = sext i32 %107 to i64",,,0
"  %relidx_167 = sub i64 %108# %phidx_92",,,0
"  %110 = add nsw i32 %106# 1",,,0
"  %111 = mul nsw i32 %110# %1",,,0
"  %112 = add nsw i32 %111# %102",,,0
"  %113 = sext i32 %112 to i64",,,0
"  %relidx_163 = sub i64 %113# %phidx_56",,,0
"  %relidx_169 = sub i64 %108# %phidx_128",,,0
"  %118 = mul nsw i32 %106# %1",,,0
"  %119 = add nsw i32 %118# %103",,,0
"  %120 = sext i32 %119 to i64",,,0
"  %relidx_165 = sub i64 %120# %113",,,0
"  %121 = add nsw i32 %106# -1",,,0
"  %125 = add nuw nsw i64 %47# 1",,,0
"  %130 = mul nsw i64 %129# %38",,,0
"  %relidx_171 = sub i64 %130# %phidx_24",,,0
"  %relidx_173 = sub i64 %130# %phidx_96",,,0
"  %relidx_175 = sub i64 %130# %phidx_132",,,0
"  %134 = add i64 %130# 4294967295",,,0
"  %135 = add nsw i64 %129# -1",,,0
"  %136 = mul nsw i64 %135# %40",,,0
"  %137 = add nuw nsw i64 %129# 1",,,0
