instruction_name,file_name,line_no,is_vector
"  %21 = add nsw i32 %1# -1",,,0
"  %23 = mul nsw i32 %21# %1",,,0
"  %24 = add nsw i32 %1# -2",,,0
"  %32 = sext i32 %1 to i64",,,0
"  %33 = sext i32 %24 to i64",,,0
"  %34 = sext i32 %23 to i64",,,0
"  %35 = sext i32 %21 to i64",,,0
"  %42 = mul nsw i64 %40# %32",,,0
"  %48 = trunc i64 %42 to i32",,,0
"  %49 = add i64 %42# 4294967295",,,0
"  %50 = add i64 %40# 4294967295",,,0
"  %51 = add nuw nsw i64 %40# 1",,,0
"  %52 = trunc i64 %50 to i32",,,0
"  %53 = trunc i64 %40 to i32",,,0
"  %54 = trunc i64 %51 to i32",,,0
"  %61 = add nsw i32 %60# %48",,,0
"  %62 = sext i32 %61 to i64",,,0
"  %65 = add nsw i32 %60# 1",,,0
"  %66 = mul nsw i32 %65# %1",,,0
"  %67 = add nsw i32 %66# %53",,,0
"  %68 = sext i32 %67 to i64",,,0
"  %75 = mul nsw i32 %60# %1",,,0
"  %76 = add nsw i32 %75# %53",,,0
"  %77 = sext i32 %76 to i64",,,0
"  %79 = add nsw i32 %60# -1",,,0
"  %85 = add i64 %49# %83",,,0
"  %86 = shl i64 %85# 32",,,0
"  %87 = ashr exact i64 %86# 32",,,0
"  %93 = add nsw i32 %84# %48",,,0
"  %94 = sext i32 %93 to i64",,,0
"  %96 = mul nsw i32 %84# %1",,,0
"  %97 = add nsw i32 %52# %96",,,0
"  %98 = sext i32 %97 to i64",,,0
"  %102 = add nsw i32 %96# %53",,,0
"  %103 = sext i32 %102 to i64",,,0
"  %108 = add nsw i32 %54# %96",,,0
"  %109 = sext i32 %108 to i64",,,0
"  %123 = add nuw nsw i64 %83# 1",,,0
"  %124 = add nuw nsw i32 %84# 1",,,0
"  %128 = add nsw i64 %40# %34",,,0
"  %135 = mul nsw i64 %134# %32",,,0
"  %142 = trunc i64 %135 to i32",,,0
"  %143 = add i64 %135# 4294967295",,,0
"  %144 = add nsw i64 %134# -1",,,0
"  %145 = mul nsw i64 %144# %32",,,0
"  %146 = add nuw nsw i64 %134# 1",,,0
"  %147 = mul nsw i64 %146# %32",,,0
"  %148 = trunc i64 %145 to i32",,,0
"  %149 = trunc i64 %147 to i32",,,0
"  %157 = add nsw i32 %156# %142",,,0
"  %158 = sext i32 %157 to i64",,,0
"  %161 = add i64 %220# %155",,,0
"  %162 = shl i64 %161# 32",,,0
"  %163 = ashr exact i64 %162# 32",,,0
"  %171 = add nsw i32 %156# -1",,,0
"  %173 = add nsw i64 %155# -1",,,0
"  %177 = add i64 %143# %175",,,0
"  %178 = shl i64 %177# 32",,,0
"  %179 = ashr exact i64 %178# 32",,,0
"  %185 = add nsw i32 %176# %142",,,0
"  %186 = sext i32 %185 to i64",,,0
"  %188 = add nsw i32 %176# %148",,,0
"  %189 = sext i32 %188 to i64",,,0
"  %197 = add nsw i32 %176# %149",,,0
"  %198 = sext i32 %197 to i64",,,0
"  %212 = add nuw nsw i64 %175# 1",,,0
"  %213 = add nuw nsw i32 %176# 1",,,0
"  %217 = add nsw i64 %135# %35",,,0
"  %220 = add i64 %135# 1",,,0
"  %21 = add nsw i32 %1# -1",,,0
"  %23 = mul nsw i32 %21# %1",,,0
"  %24 = add nsw i32 %1# -2",,,0
"  %32 = sext i32 %1 to i64",,,0
"  %33 = sext i32 %24 to i64",,,0
"  %34 = sext i32 %23 to i64",,,0
"  %35 = sext i32 %21 to i64",,,0
"  %42 = mul nsw i64 %40# %32",,,0
"  %48 = trunc i64 %42 to i32",,,0
"  %49 = add i64 %42# 4294967295",,,0
"  %50 = add i64 %40# 4294967295",,,0
"  %51 = add nuw nsw i64 %40# 1",,,0
"  %52 = trunc i64 %50 to i32",,,0
"  %53 = trunc i64 %40 to i32",,,0
"  %54 = trunc i64 %51 to i32",,,0
"  %61 = add nsw i32 %60# %48",,,0
