instruction_name,file_name,line_no,is_vector
"  %24 = getelementptr inbounds double# double* %0# i64 %23",,,0
"  %39 = getelementptr inbounds double# double* %0# i64 %38",,,0
"  %46 = getelementptr inbounds double# double* %0# i64 %45",,,0
"  %53 = getelementptr inbounds double# double* %0# i64 %52",,,0
"  %60 = getelementptr inbounds double# double* %0# i64 %59",,,0
"  %24 = getelementptr inbounds double# double* %0# i64 %23",,,0
"  %39 = getelementptr inbounds double# double* %0# i64 %38",,,0
"  %46 = getelementptr inbounds double# double* %0# i64 %45",,,0
"  %53 = getelementptr inbounds double# double* %0# i64 %52",,,0
"  %60 = getelementptr inbounds double# double* %0# i64 %59",,,0
"  %24 = getelementptr inbounds double# double* %0# i64 %23",,,0
"  %39 = getelementptr inbounds double# double* %0# i64 %38",,,0
"  %46 = getelementptr inbounds double# double* %0# i64 %45",,,0
"  %53 = getelementptr inbounds double# double* %0# i64 %52",,,0
"  %60 = getelementptr inbounds double# double* %0# i64 %59",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
