instruction_name,file_name,line_no,is_vector
"  %24 = getelementptr inbounds double# double* %0# i64 %23",,,0
"  %39 = getelementptr inbounds double# double* %0# i64 %38",,,0
"  %46 = getelementptr inbounds double# double* %0# i64 %45",,,0
"  %53 = getelementptr inbounds double# double* %0# i64 %52",,,0
"  %60 = getelementptr inbounds double# double* %0# i64 %59",,,0
"  %newgep_ = getelementptr double# double* %phibase_13# i64 %relidx_",,,0
"  %newgep_20 = getelementptr double# double* %phibase_11# i64 %relidx_19",,,0
"  %newgep_22 = getelementptr double# double* %newgep_20# i64 %relidx_21",,,0
"  %newgep_24 = getelementptr double# double* %newgep_22# i64 %relidx_23",,,0
"  %newgep_26 = getelementptr double# double* %newgep_24# i64 %relidx_25",,,0
"  %newgep_ = getelementptr double# double* %phibase_13# i64 %relidx_",,,0
"  %newgep_20 = getelementptr double# double* %phibase_11# i64 %relidx_19",,,0
"  %newgep_22 = getelementptr double# double* %newgep_20# i64 %relidx_21",,,0
"  %newgep_24 = getelementptr double# double* %newgep_22# i64 %relidx_23",,,0
"  %newgep_26 = getelementptr double# double* %newgep_24# i64 %relidx_25",,,0
"  %newgep_ = getelementptr double# double* %phibase_# i64 %relidx_",,,0
"  %newgep_ = getelementptr double# double* %phibase_# i64 %relidx_",,,0
"  %newgep_ = getelementptr double# double* %phibase_# i64 %relidx_",,,0
"  %newgep_ = getelementptr double# double* %phibase_# i64 %relidx_",,,0
