instruction_name,file_name,line_no,is_vector
"  %19 = trunc i64 %17 to i32",,,0
"  %21 = shl i32 %19# 1",,,0
"  %22 = add nsw i32 %21# -2",,,0
"  %23 = sext i32 %22 to i64",,,0
"  %25 = add nuw nsw i64 %17# 1",,,0
"  %34 = trunc i64 %32 to i32",,,0
"  %36 = shl i32 %34# 1",,,0
"  %37 = add nsw i32 %36# -2",,,0
"  %38 = sext i32 %37 to i64",,,0
"  %40 = add nuw nsw i64 %32# 1",,,0
"  %41 = trunc i64 %40 to i32",,,0
"  %43 = shl i32 %41# 1",,,0
"  %44 = add nsw i32 %43# -2",,,0
"  %45 = sext i32 %44 to i64",,,0
"  %47 = add nsw i64 %32# 2",,,0
"  %48 = trunc i64 %47 to i32",,,0
"  %50 = shl i32 %48# 1",,,0
"  %51 = add nsw i32 %50# -2",,,0
"  %52 = sext i32 %51 to i64",,,0
"  %54 = add nsw i64 %32# 3",,,0
"  %55 = trunc i64 %54 to i32",,,0
"  %57 = shl i32 %55# 1",,,0
"  %58 = add nsw i32 %57# -2",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %61 = add nsw i64 %32# 4",,,0
"  %19 = trunc i64 %17 to i32",,,0
"  %21 = shl i32 %19# 1",,,0
"  %22 = add nsw i32 %21# -2",,,0
"  %23 = sext i32 %22 to i64",,,0
"  %25 = add nuw nsw i64 %17# 1",,,0
"  %34 = trunc i64 %32 to i32",,,0
"  %36 = shl i32 %34# 1",,,0
"  %37 = add nsw i32 %36# -2",,,0
"  %38 = sext i32 %37 to i64",,,0
"  %40 = add nuw nsw i64 %32# 1",,,0
"  %41 = trunc i64 %40 to i32",,,0
"  %43 = shl i32 %41# 1",,,0
"  %44 = add nsw i32 %43# -2",,,0
"  %45 = sext i32 %44 to i64",,,0
"  %47 = add nsw i64 %32# 2",,,0
"  %48 = trunc i64 %47 to i32",,,0
"  %50 = shl i32 %48# 1",,,0
"  %51 = add nsw i32 %50# -2",,,0
"  %52 = sext i32 %51 to i64",,,0
"  %54 = add nsw i64 %32# 3",,,0
"  %55 = trunc i64 %54 to i32",,,0
"  %57 = shl i32 %55# 1",,,0
"  %58 = add nsw i32 %57# -2",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %61 = add nsw i64 %32# 4",,,0
"  %19 = trunc i64 %17 to i32",,,0
"  %21 = shl i32 %19# 1",,,0
"  %22 = add nsw i32 %21# -2",,,0
"  %23 = sext i32 %22 to i64",,,0
"  %25 = add nuw nsw i64 %17# 1",,,0
"  %34 = trunc i64 %32 to i32",,,0
"  %36 = shl i32 %34# 1",,,0
"  %37 = add nsw i32 %36# -2",,,0
"  %38 = sext i32 %37 to i64",,,0
"  %40 = add nuw nsw i64 %32# 1",,,0
"  %41 = trunc i64 %40 to i32",,,0
"  %43 = shl i32 %41# 1",,,0
"  %44 = add nsw i32 %43# -2",,,0
"  %45 = sext i32 %44 to i64",,,0
"  %47 = add nsw i64 %32# 2",,,0
"  %48 = trunc i64 %47 to i32",,,0
"  %50 = shl i32 %48# 1",,,0
"  %51 = add nsw i32 %50# -2",,,0
"  %52 = sext i32 %51 to i64",,,0
"  %54 = add nsw i64 %32# 3",,,0
"  %55 = trunc i64 %54 to i32",,,0
"  %57 = shl i32 %55# 1",,,0
"  %58 = add nsw i32 %57# -2",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %61 = add nsw i64 %32# 4",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %14 = add nuw nsw i64 %6# 1",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %14 = add nuw nsw i64 %6# 1",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %14 = add nuw nsw i64 %6# 1",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %14 = add nuw nsw i64 %6# 1",,,0
