instruction_name,file_name,line_no,is_vector
"  %19 = trunc i64 %17 to i32",,,0
"  %21 = shl i32 %19# 1",,,0
"  %22 = add nsw i32 %21# -2",,,0
"  %23 = sext i32 %22 to i64",,,0
"  %25 = add nuw nsw i64 %17# 1",,,0
"  %34 = trunc i64 %32 to i32",,,0
"  %36 = shl i32 %34# 1",,,0
"  %37 = add nsw i32 %36# -2",,,0
"  %38 = sext i32 %37 to i64",,,0
"  %40 = add nuw nsw i64 %32# 1",,,0
"  %41 = trunc i64 %40 to i32",,,0
"  %43 = shl i32 %41# 1",,,0
"  %44 = add nsw i32 %43# -2",,,0
"  %45 = sext i32 %44 to i64",,,0
"  %47 = add nsw i64 %32# 2",,,0
"  %48 = trunc i64 %47 to i32",,,0
"  %50 = shl i32 %48# 1",,,0
"  %51 = add nsw i32 %50# -2",,,0
"  %52 = sext i32 %51 to i64",,,0
"  %54 = add nsw i64 %32# 3",,,0
"  %55 = trunc i64 %54 to i32",,,0
"  %57 = shl i32 %55# 1",,,0
"  %58 = add nsw i32 %57# -2",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %61 = add nsw i64 %32# 4",,,0
"  %19 = trunc i64 %17 to i32",,,0
"  %21 = shl i32 %19# 1",,,0
"  %22 = add nsw i32 %21# -2",,,0
"  %23 = sext i32 %22 to i64",,,0
"  %relidx_ = sub i64 %23# %phidx_14",,,0
"  %24 = add nuw nsw i64 %17# 1",,,0
"  %33 = trunc i64 %31 to i32",,,0
"  %35 = shl i32 %33# 1",,,0
"  %36 = add nsw i32 %35# -2",,,0
"  %37 = sext i32 %36 to i64",,,0
"  %relidx_19 = sub i64 %37# %phidx_12",,,0
"  %38 = add nuw nsw i64 %31# 1",,,0
"  %39 = trunc i64 %38 to i32",,,0
"  %41 = shl i32 %39# 1",,,0
"  %42 = add nsw i32 %41# -2",,,0
"  %43 = sext i32 %42 to i64",,,0
"  %relidx_21 = sub i64 %43# %37",,,0
"  %44 = add nsw i64 %31# 2",,,0
"  %45 = trunc i64 %44 to i32",,,0
"  %47 = shl i32 %45# 1",,,0
"  %48 = add nsw i32 %47# -2",,,0
"  %49 = sext i32 %48 to i64",,,0
"  %relidx_23 = sub i64 %49# %43",,,0
"  %50 = add nsw i64 %31# 3",,,0
"  %51 = trunc i64 %50 to i32",,,0
"  %53 = shl i32 %51# 1",,,0
"  %54 = add nsw i32 %53# -2",,,0
"  %55 = sext i32 %54 to i64",,,0
"  %relidx_25 = sub i64 %55# %49",,,0
"  %56 = add nsw i64 %31# 4",,,0
"  %19 = trunc i64 %17 to i32",,,0
"  %21 = shl i32 %19# 1",,,0
"  %22 = add nsw i32 %21# -2",,,0
"  %23 = sext i32 %22 to i64",,,0
"  %relidx_ = sub i64 %23# %phidx_14",,,0
"  %24 = add nuw nsw i64 %17# 1",,,0
"  %33 = trunc i64 %31 to i32",,,0
"  %35 = shl i32 %33# 1",,,0
"  %36 = add nsw i32 %35# -2",,,0
"  %37 = sext i32 %36 to i64",,,0
"  %relidx_19 = sub i64 %37# %phidx_12",,,0
"  %38 = add nuw nsw i64 %31# 1",,,0
"  %39 = trunc i64 %38 to i32",,,0
"  %41 = shl i32 %39# 1",,,0
"  %42 = add nsw i32 %41# -2",,,0
"  %43 = sext i32 %42 to i64",,,0
"  %relidx_21 = sub i64 %43# %37",,,0
"  %44 = add nsw i64 %31# 2",,,0
"  %45 = trunc i64 %44 to i32",,,0
"  %47 = shl i32 %45# 1",,,0
"  %48 = add nsw i32 %47# -2",,,0
"  %49 = sext i32 %48 to i64",,,0
"  %relidx_23 = sub i64 %49# %43",,,0
"  %50 = add nsw i64 %31# 3",,,0
"  %51 = trunc i64 %50 to i32",,,0
"  %53 = shl i32 %51# 1",,,0
"  %54 = add nsw i32 %53# -2",,,0
"  %55 = sext i32 %54 to i64",,,0
"  %relidx_25 = sub i64 %55# %49",,,0
"  %56 = add nsw i64 %31# 4",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %relidx_ = sub i64 %12# %phidx_",,,0
"  %13 = add nuw nsw i64 %6# 1",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %relidx_ = sub i64 %12# %phidx_",,,0
"  %13 = add nuw nsw i64 %6# 1",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %relidx_ = sub i64 %12# %phidx_",,,0
"  %13 = add nuw nsw i64 %6# 1",,,0
"  %9 = trunc i64 %6 to i32",,,0
"  %10 = shl i32 %9# 1",,,0
"  %11 = add nsw i32 %10# -2",,,0
"  %12 = sext i32 %11 to i64",,,0
"  %relidx_ = sub i64 %12# %phidx_",,,0
"  %13 = add nuw nsw i64 %6# 1",,,0
