instruction_name,file_name,line_no,is_vector
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %11 = getelementptr inbounds double# double* %0# i64 %10",,,0
"  %14 = getelementptr inbounds double# double* %6# i64 %13",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %11 = getelementptr inbounds double# double* %0# i64 %10",,,0
"  %23 = getelementptr inbounds double# double* %0# i64 %22",,,0
"  %38 = getelementptr inbounds double# double* %0# i64 %37",,,0
"  %45 = getelementptr inbounds double# double* %0# i64 %44",,,0
"  %52 = getelementptr inbounds double# double* %0# i64 %51",,,0
"  %59 = getelementptr inbounds double# double* %0# i64 %58",,,0
"  %11 = getelementptr inbounds double# double* %0# i64 %10",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
"  %13 = getelementptr inbounds double# double* %0# i64 %12",,,0
