instruction_name,file_name,line_no,is_vector
"  %11 = getelementptr inbounds double# double* %0# i64 %10",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %14 = getelementptr inbounds double# double* %6# i64 %13",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %14",,,0
"  %15 = getelementptr inbounds double# double* %0# i64 %14",,,0
"  %clonegep_240 = getelementptr double# double* %0# i64 %26",,,0
"  %27 = getelementptr inbounds double# double* %0# i64 %26",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %62",,,0
"  %63 = getelementptr inbounds double# double* %0# i64 %62",,,0
"  %clonegep_153 = getelementptr double# double* %0# i64 %128",,,0
"  %129 = getelementptr inbounds double# double* %0# i64 %128",,,0
"  %clonegep_39 = getelementptr double# double* %0# i64 %89",,,0
"  %90 = getelementptr inbounds double# double* %0# i64 %89",,,0
"  %clonegep_86 = getelementptr double# double* %0# i64 %111",,,0
"  %112 = getelementptr inbounds double# double* %0# i64 %111",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %14",,,0
"  %15 = getelementptr inbounds double# double* %0# i64 %14",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
"  %clonegep_ = getelementptr double# double* %0# i64 %16",,,0
"  %17 = getelementptr inbounds double# double* %0# i64 %16",,,0
