instruction_name,file_name,line_no,is_vector
"  %101 = or i64 %95# 4",,,0
"  %106 = add i64 %95# 8",,,0
"  %138 = add nuw nsw i64 %133# 1",,,0
"  %148 = mul i64 %15# %146",,,0
"  %149 = add i64 %15# %148",,,0
"  %263 = add nuw nsw i64 %147# 1",,,0
"  %266 = add i64 %146# 1",,,0
"  %14 = add nsw i32 %2# -1",,,0
"  %15 = sext i32 %2 to i64",,,0
"  %16 = add i32 %2# -2",,,0
"  %17 = zext i32 %16 to i64",,,0
"  %18 = add nuw nsw i64 %17# 1",,,0
"  %19 = zext i32 %16 to i64",,,0
"  %20 = zext i32 %2 to i64",,,0
"  %22 = add nsw i64 %15# %19",,,0
"  %23 = zext i32 %14 to i64",,,0
"  %24 = add nuw nsw i64 %23# 1",,,0
"  %25 = zext i32 %14 to i64",,,0
"  %26 = add nsw i64 %15# %25",,,0
"  %27 = zext i32 %14 to i64",,,0
"  %28 = add nuw nsw i64 %27# 1",,,0
"  %29 = zext i32 %14 to i64",,,0
"  %38 = and i64 %28# 8589934588",,,0
"  %47 = and i64 %24# 8589934588",,,0
"  %55 = and i64 %18# 8589934590",,,0
"  %57 = trunc i64 %55 to i32",,,0
"  %151 = add i64 %26# %148",,,0
"  %154 = add i64 %25# %148",,,0
"  %158 = mul nsw i64 %147# %15",,,0
"  %159 = add nsw i64 %147# -1",,,0
"  %160 = mul nsw i64 %159# %15",,,0
"  %173 = add nsw i64 %172# %158",,,0
"  %186 = add nsw i64 %172# %160",,,0
"  %201 = add i64 %172# 4",,,0
"  %216 = add nsw i64 %214# %158",,,0
"  %221 = add nsw i64 %214# %160",,,0
"  %227 = or i64 %214# 1",,,0
"  %228 = add nsw i64 %227# %158",,,0
"  %233 = add nsw i64 %227# %160",,,0
"  %239 = add nsw i64 %214# 2",,,0
"  %249 = add nsw i64 %245# %158",,,0
"  %254 = add nsw i64 %245# %160",,,0
"  %273 = or i64 %268# 1",,,0
"  %277 = or i64 %268# 2",,,0
"  %281 = or i64 %268# 3",,,0
"  %285 = add nsw i64 %268# 4",,,0
"  %289 = add nsw i64 %268# 5",,,0
"  %293 = add nsw i64 %268# 6",,,0
"  %297 = add nsw i64 %268# 7",,,0
"  %301 = add nsw i64 %268# 8",,,0
"  %309 = mul nsw i32 %308# %2",,,0
"  %310 = add i32 %309# -1",,,0
"  %316 = add nsw i32 %314# %309",,,0
"  %317 = sext i32 %316 to i64",,,0
"  %322 = trunc i64 %313 to i32",,,0
"  %323 = add i32 %310# %322",,,0
"  %324 = sext i32 %323 to i64",,,0
"  %330 = add nuw nsw i64 %313# 1",,,0
"  %331 = add nuw nsw i32 %314# 1",,,0
"  %332 = add nsw i32 %331# %309",,,0
"  %333 = sext i32 %332 to i64",,,0
"  %338 = trunc i64 %330 to i32",,,0
"  %339 = add i32 %310# %338",,,0
"  %340 = sext i32 %339 to i64",,,0
"  %346 = add nsw i64 %313# 2",,,0
"  %347 = add nsw i32 %314# 2",,,0
"  %358 = add nsw i32 %355# %309",,,0
"  %359 = sext i32 %358 to i64",,,0
"  %364 = trunc i64 %354 to i32",,,0
"  %365 = add i32 %310# %364",,,0
"  %366 = sext i32 %365 to i64",,,0
"  %374 = add nuw nsw i32 %308# 1",,,0
"  %381 = mul i64 %15# %380",,,0
"  %383 = add i64 %19# %381",,,0
"  %387 = mul i64 %20# %380",,,0
"  %388 = shl i64 %387# 32",,,0
"  %389 = add i64 %388# 4294967296",,,0
"  %390 = ashr exact i64 %389# 32",,,0
"  %395 = add i64 %15# %381",,,0
"  %397 = add i64 %22# %381",,,0
"  %399 = mul nsw i64 %380# %15",,,0
"  %400 = add nuw nsw i64 %380# 1",,,0
"  %401 = mul nsw i64 %400# %15",,,0
"  %402 = trunc i64 %399 to i32",,,0
"  %423 = add nsw i64 %422# %399",,,0
"  %427 = or i64 %422# 1",,,0
"  %428 = add i64 %427# %399",,,0
"  %429 = shl i64 %428# 32",,,0
"  %430 = ashr exact i64 %429# 32",,,0
"  %438 = add nsw i64 %422# %401",,,0
"  %450 = add i64 %422# 2",,,0
"  %459 = add nsw i64 %457# %399",,,0
"  %462 = add nuw nsw i64 %457# 1",,,0
"  %463 = add nuw nsw i32 %458# 1",,,0
"  %464 = add nsw i32 %463# %402",,,0
"  %465 = sext i32 %464 to i64",,,0
"  %471 = add nsw i64 %457# %401",,,0
"  %488 = add nuw nsw i64 %64# 1",,,0
"  %101 = or i64 %95# 4",,,0
"  %106 = add i64 %95# 8",,,0
"  %138 = add nuw nsw i64 %133# 1",,,0
"  %148 = mul i64 %15# %146",,,0
"  %149 = add i64 %15# %148",,,0
