instruction_name,file_name,line_no,is_vector
"  %relidx_561 = sub i64 %62# %phidx_426",,,0
"  %relidx_567 = sub i64 %107# %phidx_236",,,0
"  %relidx_563 = sub i64 %92# %phidx_216",,,0
"  %97 = or i64 %92# 4",,,0
"  %relidx_565 = sub i64 %97# %92",,,0
"  %101 = add i64 %92# 8",,,0
"  %203 = add nsw i64 %198# %147",,,0
"  %relidx_595 = sub i64 %203# %200",,,0
"  %208 = or i64 %198# 1",,,0
"  %209 = add nsw i64 %208# %145",,,0
"  %relidx_591 = sub i64 %209# %200",,,0
"  %relidx_597 = sub i64 %209# %203",,,0
"  %212 = add nsw i64 %208# %147",,,0
"  %relidx_599 = sub i64 %212# %209",,,0
"  %217 = add nsw i64 %198# 2",,,0
"  %relidx_569 = sub i64 %127# %phidx_188",,,0
"  %131 = add nuw nsw i64 %127# 1",,,0
"  %14 = add nsw i32 %2# -1",,,0
"  %15 = sext i32 %2 to i64",,,0
"  %16 = add i32 %2# -2",,,0
"  %17 = zext i32 %16 to i64",,,0
"  %18 = add nuw nsw i64 %17# 1",,,0
"  %19 = zext i32 %16 to i64",,,0
"  %20 = zext i32 %2 to i64",,,0
"  %relidx_ = sub i64 %19# %phidx_",,,0
"  %21 = add nsw i64 %15# %19",,,0
"  %22 = zext i32 %14 to i64",,,0
"  %23 = add nuw nsw i64 %22# 1",,,0
"  %24 = zext i32 %14 to i64",,,0
"  %25 = add nsw i64 %15# %24",,,0
"  %26 = zext i32 %14 to i64",,,0
"  %27 = add nuw nsw i64 %26# 1",,,0
"  %28 = zext i32 %14 to i64",,,0
"  %relidx_559 = sub i64 %28# %phidx_140",,,0
"  %36 = and i64 %27# 8589934588",,,0
"  %45 = and i64 %23# 8589934588",,,0
"  %53 = and i64 %18# 8589934590",,,0
"  %55 = trunc i64 %53 to i32",,,0
"  %relidx_675 = sub i64 %403# %412",,,0
"  %427 = add nuw nsw i64 %62# 1",,,0
"  %141 = mul i64 %15# %139",,,0
"  %142 = add i64 %15# %141",,,0
"  %relidx_571 = sub i64 %142# %phidx_164",,,0
"  %143 = add i64 %25# %141",,,0
