instruction_name,file_name,line_no,is_vector
"  %57 = mul i32 %55# %1",,,0
"  %58 = add i32 %23# %57",,,0
"  %59 = sext i32 %58 to i64",,,0
"  %62 = add i32 %57# 1",,,0
"  %63 = sext i32 %62 to i64",,,0
"  %66 = add i32 %29# %57",,,0
"  %67 = sext i32 %66 to i64",,,0
"  %70 = add i32 %31# %57",,,0
"  %71 = sext i32 %70 to i64",,,0
"  %74 = add i32 %57# %1",,,0
"  %75 = sext i32 %74 to i64",,,0
"  %78 = mul nsw i32 %56# %1",,,0
"  %79 = add nuw nsw i32 %56# 1",,,0
"  %80 = mul nsw i32 %79# %1",,,0
"  %81 = add nsw i32 %56# -1",,,0
"  %82 = mul nsw i32 %81# %1",,,0
"  %102 = insertelement <2 x i32> undef# i32 %78# i32 0",,,1
"  %103 = shufflevector <2 x i32> %102# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %106 = or i32 %105# 1",,,0
"  %107 = insertelement <2 x i32> undef# i32 %106# i32 0",,,1
"  %108 = shufflevector <2 x i32> %107# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %109 = add <2 x i32> %108# <i32 0# i32 1>",,,1
"  %110 = add nsw <2 x i32> %109# %103",,,1
"  %111 = extractelement <2 x i32> %110# i32 0",,,0
"  %112 = sext i32 %111 to i64",,,0
"  %116 = extractelement <2 x i32> %110# i32 0",,,0
"  %117 = add nsw i32 %116# -1",,,0
"  %118 = sext i32 %117 to i64",,,0
"  %123 = extractelement <2 x i32> %110# i32 0",,,0
"  %124 = add nsw i32 %123# 1",,,0
"  %125 = sext i32 %124 to i64",,,0
"  %130 = add nsw i32 %106# %80",,,0
"  %131 = sext i32 %130 to i64",,,0
"  %136 = add nsw i32 %106# %82",,,0
"  %137 = sext i32 %136 to i64",,,0
"  %145 = add i32 %105# 2",,,0
"  %263 = sext i32 %262 to i64",,,0
"  %268 = add nsw i32 %238# %214",,,0
"  %269 = sext i32 %268 to i64",,,0
"  %277 = add i32 %237# 2",,,0
"  %9 = add i32 %1# -2",,,0
"  %10 = add i32 %1# 1",,,0
"  %11 = add i32 %1# -3",,,0
"  %12 = zext i32 %11 to i64",,,0
"  %15 = shl i32 %1# 1",,,0
"  %16 = or i32 %15# 1",,,0
"  %18 = add i32 %1# 2",,,0
"  %22 = add i32 %1# -2",,,0
"  %23 = add i32 %1# 1",,,0
"  %24 = add i32 %1# -3",,,0
"  %25 = zext i32 %24 to i64",,,0
"  %28 = shl i32 %1# 1",,,0
"  %29 = or i32 %28# 1",,,0
