instruction_name,file_name,line_no,is_vector
"  %40 = mul i32 %38# %1",,,0
"  %41 = add i32 %13# %40",,,0
"  %42 = sext i32 %41 to i64",,,0
"  %relidx_62 = sub i64 %42# %phidx_31",,,0
"  %44 = mul i64 %9# %37",,,0
"  %relidx_64 = sub i64 %44# %42",,,0
"  %45 = add i64 %14# %44",,,0
"  %relidx_66 = sub i64 %45# %44",,,0
"  %46 = mul i64 %15# %37",,,0
"  %47 = shl i64 %46# 32",,,0
"  %48 = add i64 %47# 4294967296",,,0
"  %49 = ashr exact i64 %48# 32",,,0
"  %relidx_68 = sub i64 %49# %45",,,0
"  %51 = shl i64 %46# 32",,,0
"  %52 = add i64 %51# 8589934592",,,0
"  %53 = ashr exact i64 %52# 32",,,0
"  %relidx_70 = sub i64 %53# %49",,,0
"  %55 = add i64 %9# %44",,,0
"  %relidx_72 = sub i64 %55# %53",,,0
"  %56 = add i64 %16# %44",,,0
"  %relidx_74 = sub i64 %56# %55",,,0
"  %57 = add i64 %18# %46",,,0
"  %58 = shl i64 %57# 32",,,0
"  %59 = ashr exact i64 %58# 32",,,0
"  %relidx_76 = sub i64 %59# %56",,,0
"  %61 = add i64 %19# %44",,,0
"  %relidx_78 = sub i64 %61# %59",,,0
"  %62 = add i64 %20# %44",,,0
"  %relidx_80 = sub i64 %62# %61",,,0
"  %63 = add i64 %23# %46",,,0
"  %64 = shl i64 %63# 32",,,0
"  %65 = ashr exact i64 %64# 32",,,0
"  %relidx_82 = sub i64 %65# %62",,,0
"  %67 = add i64 %25# %46",,,0
"  %68 = shl i64 %67# 32",,,0
"  %69 = ashr exact i64 %68# 32",,,0
"  %relidx_84 = sub i64 %69# %65",,,0
"  %71 = add nsw i64 %39# -1",,,0
"  %72 = mul nsw i64 %71# %9",,,0
"  %73 = mul nsw i64 %39# %9",,,0
"  %74 = add nuw nsw i64 %39# 1",,,0
"  %75 = mul nsw i64 %74# %9",,,0
"  %9 = sext i32 %1 to i64",,,0
"  %10 = add i32 %1# -3",,,0
"  %11 = zext i32 %10 to i64",,,0
"  %12 = add nuw nsw i64 %11# 1",,,0
"  %13 = add i32 %1# 1",,,0
"  %14 = zext i32 %10 to i64",,,0
"  %relidx_ = sub i64 %14# %phidx_",,,0
"  %15 = zext i32 %1 to i64",,,0
"  %relidx_52 = sub i64 %14# %14",,,0
"  %relidx_54 = sub i64 %14# %14",,,0
"  %16 = add nsw i64 %9# %14",,,0
"  %17 = add i32 %1# 2",,,0
"  %18 = zext i32 %17 to i64",,,0
"  %relidx_56 = sub i64 %14# %14",,,0
"  %19 = shl nsw i64 %9# 1",,,0
"  %20 = add nsw i64 %19# %14",,,0
"  %21 = shl i32 %1# 1",,,0
"  %22 = zext i32 %21 to i64",,,0
"  %23 = or i64 %22# 1",,,0
"  %relidx_58 = sub i64 %14# %14",,,0
"  %24 = add i32 %21# 2",,,0
"  %25 = zext i32 %24 to i64",,,0
"  %relidx_60 = sub i64 %14# %14",,,0
"  %29 = or i64 %12# 1",,,0
"  %30 = trunc i64 %12 to i32",,,0
"  %31 = or i32 %30# 1",,,0
"  %76 = trunc i64 %72 to i32",,,0
"  %77 = trunc i64 %73 to i32",,,0
"  %78 = trunc i64 %75 to i32",,,0
"  %113 = insertelement <2 x i32> undef# i32 %76# i32 0",,,1
"  %114 = shufflevector <2 x i32> %113# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %115 = insertelement <2 x i32> undef# i32 %77# i32 0",,,1
"  %116 = shufflevector <2 x i32> %115# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %117 = insertelement <2 x i32> undef# i32 %78# i32 0",,,1
"  %118 = shufflevector <2 x i32> %117# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %121 = or i64 %120# 1",,,0
"  %122 = insertelement <2 x i64> undef# i64 %121# i32 0",,,1
"  %123 = shufflevector <2 x i64> %122# <2 x i64> undef# <2 x i32> zeroinitializer",,,1
"  %124 = trunc i64 %120 to i32",,,0
"  %125 = or i32 %124# 1",,,0
"  %126 = insertelement <2 x i32> undef# i32 %125# i32 0",,,1
"  %127 = shufflevector <2 x i32> %126# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %128 = add <2 x i32> %127# <i32 0# i32 1>",,,1
"  %129 = add <2 x i64> %123# <i64 -1# i64 0>",,,1
"  %130 = extractelement <2 x i64> %129# i32 0",,,0
"  %131 = add nsw i64 %130# %72",,,0
"  %relidx_86 = sub i64 %131# %phidx_47",,,0
"  %134 = add nsw <2 x i32> %128# %114",,,1
"  %135 = extractelement <2 x i32> %134# i32 0",,,0
"  %136 = sext i32 %135 to i64",,,0
"  %relidx_88 = sub i64 %136# %131",,,0
"  %140 = add <2 x i32> %127# <i32 1# i32 2>",,,1
"  %141 = add nsw <2 x i32> %140# %114",,,1
"  %142 = extractelement <2 x i32> %141# i32 0",,,0
"  %143 = sext i32 %142 to i64",,,0
"  %relidx_90 = sub i64 %143# %136",,,0
"  %147 = extractelement <2 x i64> %129# i32 0",,,0
"  %148 = add nsw i64 %147# %73",,,0
"  %relidx_92 = sub i64 %148# %143",,,0
"  %152 = add nsw <2 x i32> %128# %116",,,1
"  %153 = extractelement <2 x i32> %152# i32 0",,,0
"  %154 = sext i32 %153 to i64",,,0
"  %relidx_94 = sub i64 %154# %148",,,0
"  %158 = add nsw <2 x i32> %140# %116",,,1
"  %159 = extractelement <2 x i32> %158# i32 0",,,0
"  %160 = sext i32 %159 to i64",,,0
"  %relidx_96 = sub i64 %160# %154",,,0
"  %164 = extractelement <2 x i64> %129# i32 0",,,0
"  %165 = add nsw i64 %164# %75",,,0
"  %relidx_98 = sub i64 %165# %160",,,0
"  %169 = add nsw <2 x i32> %128# %118",,,1
"  %170 = extractelement <2 x i32> %169# i32 0",,,0
"  %171 = sext i32 %170 to i64",,,0
"  %relidx_100 = sub i64 %171# %165",,,0
"  %175 = add nsw <2 x i32> %140# %118",,,1
"  %176 = extractelement <2 x i32> %175# i32 0",,,0
"  %177 = sext i32 %176 to i64",,,0
"  %relidx_102 = sub i64 %177# %171",,,0
"  %183 = add i64 %120# 2",,,0
"  %192 = add nsw i64 %190# -1",,,0
"  %193 = add nsw i64 %192# %72",,,0
"  %relidx_104 = sub i64 %193# %phidx_37",,,0
"  %195 = add nsw i32 %191# %76",,,0
"  %196 = sext i32 %195 to i64",,,0
"  %relidx_106 = sub i64 %196# %193",,,0
"  %199 = add nuw nsw i64 %190# 1",,,0
"  %200 = add nuw nsw i32 %191# 1",,,0
"  %201 = add nsw i32 %200# %76",,,0
"  %202 = sext i32 %201 to i64",,,0
"  %relidx_108 = sub i64 %202# %196",,,0
"  %205 = add nsw i64 %192# %73",,,0
"  %relidx_110 = sub i64 %205# %202",,,0
"  %208 = add nsw i32 %191# %77",,,0
"  %209 = sext i32 %208 to i64",,,0
"  %relidx_112 = sub i64 %209# %205",,,0
"  %212 = add nsw i32 %200# %77",,,0
"  %213 = sext i32 %212 to i64",,,0
"  %relidx_114 = sub i64 %213# %209",,,0
"  %216 = add nsw i64 %192# %75",,,0
"  %relidx_116 = sub i64 %216# %213",,,0
"  %219 = add nsw i32 %191# %78",,,0
"  %220 = sext i32 %219 to i64",,,0
"  %relidx_118 = sub i64 %220# %216",,,0
"  %223 = add nsw i32 %200# %78",,,0
"  %224 = sext i32 %223 to i64",,,0
"  %relidx_120 = sub i64 %224# %220",,,0
"  %234 = add i32 %38# 1",,,0
"  %235 = add i64 %37# 1",,,0
"  %46 = mul i32 %44# %1",,,0
"  %47 = add i32 %13# %46",,,0
"  %48 = sext i32 %47 to i64",,,0
"  %51 = mul i64 %9# %43",,,0
"  %53 = add i64 %14# %51",,,0
"  %55 = mul i64 %16# %43",,,0
"  %56 = shl i64 %55# 32",,,0
"  %57 = add i64 %56# 4294967296",,,0
"  %58 = ashr exact i64 %57# 32",,,0
"  %61 = shl i64 %55# 32",,,0
"  %62 = add i64 %61# 8589934592",,,0
"  %63 = ashr exact i64 %62# 32",,,0
