instruction_name,file_name,line_no,is_vector
"  %46 = mul i32 %44# %1",,,0
"  %47 = add i32 %13# %46",,,0
"  %48 = sext i32 %47 to i64",,,0
"  %51 = mul i64 %9# %43",,,0
"  %53 = add i64 %14# %51",,,0
"  %55 = mul i64 %16# %43",,,0
"  %56 = shl i64 %55# 32",,,0
"  %57 = add i64 %56# 4294967296",,,0
"  %58 = ashr exact i64 %57# 32",,,0
"  %61 = shl i64 %55# 32",,,0
"  %62 = add i64 %61# 8589934592",,,0
"  %63 = ashr exact i64 %62# 32",,,0
"  %66 = add i64 %9# %51",,,0
"  %68 = add i64 %19# %51",,,0
"  %70 = add i64 %21# %55",,,0
"  %71 = shl i64 %70# 32",,,0
"  %72 = ashr exact i64 %71# 32",,,0
"  %75 = add i64 %23# %51",,,0
"  %77 = add i64 %24# %51",,,0
"  %79 = add i64 %27# %55",,,0
"  %80 = shl i64 %79# 32",,,0
"  %81 = ashr exact i64 %80# 32",,,0
"  %84 = add i64 %30# %55",,,0
"  %85 = shl i64 %84# 32",,,0
"  %86 = ashr exact i64 %85# 32",,,0
"  %89 = add nsw i64 %45# -1",,,0
"  %90 = mul nsw i64 %89# %9",,,0
"  %91 = mul nsw i64 %45# %9",,,0
"  %92 = add nuw nsw i64 %45# 1",,,0
"  %93 = mul nsw i64 %92# %9",,,0
"  %94 = trunc i64 %90 to i32",,,0
"  %95 = trunc i64 %91 to i32",,,0
"  %96 = trunc i64 %93 to i32",,,0
"  %131 = insertelement <2 x i32> undef# i32 %94# i32 0",,,1
"  %270 = add i32 %44# 1",,,0
"  %271 = add i64 %43# 1",,,0
"  %9 = sext i32 %1 to i64",,,0
"  %10 = add i32 %1# -3",,,0
"  %11 = zext i32 %10 to i64",,,0
"  %14 = zext i32 %10 to i64",,,0
"  %12 = add nuw nsw i64 %11# 1",,,0
"  %13 = add i32 %1# 1",,,0
"  %16 = zext i32 %1 to i64",,,0
"  %19 = add nsw i64 %9# %14",,,0
"  %20 = add i32 %1# 2",,,0
"  %21 = zext i32 %20 to i64",,,0
"  %23 = shl nsw i64 %9# 1",,,0
"  %24 = add nsw i64 %23# %14",,,0
"  %25 = shl i32 %1# 1",,,0
"  %26 = zext i32 %25 to i64",,,0
"  %27 = or i64 %26# 1",,,0
"  %29 = add i32 %25# 2",,,0
"  %30 = zext i32 %29 to i64",,,0
"  %35 = or i64 %12# 1",,,0
"  %36 = trunc i64 %12 to i32",,,0
"  %37 = or i32 %36# 1",,,0
"  %132 = shufflevector <2 x i32> %131# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %133 = insertelement <2 x i32> undef# i32 %95# i32 0",,,1
"  %134 = shufflevector <2 x i32> %133# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %135 = insertelement <2 x i32> undef# i32 %96# i32 0",,,1
"  %136 = shufflevector <2 x i32> %135# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %139 = or i64 %138# 1",,,0
"  %140 = insertelement <2 x i64> undef# i64 %139# i32 0",,,1
"  %141 = shufflevector <2 x i64> %140# <2 x i64> undef# <2 x i32> zeroinitializer",,,1
"  %142 = trunc i64 %138 to i32",,,0
"  %143 = or i32 %142# 1",,,0
"  %144 = insertelement <2 x i32> undef# i32 %143# i32 0",,,1
"  %145 = shufflevector <2 x i32> %144# <2 x i32> undef# <2 x i32> zeroinitializer",,,1
"  %146 = add <2 x i32> %145# <i32 0# i32 1>",,,1
"  %147 = add <2 x i64> %141# <i64 -1# i64 0>",,,1
"  %148 = extractelement <2 x i64> %147# i32 0",,,0
"  %149 = add nsw i64 %148# %90",,,0
"  %153 = add nsw <2 x i32> %146# %132",,,1
"  %154 = extractelement <2 x i32> %153# i32 0",,,0
"  %155 = sext i32 %154 to i64",,,0
"  %160 = add <2 x i32> %145# <i32 1# i32 2>",,,1
"  %161 = add nsw <2 x i32> %160# %132",,,1
"  %162 = extractelement <2 x i32> %161# i32 0",,,0
"  %163 = sext i32 %162 to i64",,,0
"  %168 = extractelement <2 x i64> %147# i32 0",,,0
"  %169 = add nsw i64 %168# %91",,,0
"  %174 = add nsw <2 x i32> %146# %134",,,1
"  %175 = extractelement <2 x i32> %174# i32 0",,,0
"  %176 = sext i32 %175 to i64",,,0
"  %181 = add nsw <2 x i32> %160# %134",,,1
"  %182 = extractelement <2 x i32> %181# i32 0",,,0
"  %183 = sext i32 %182 to i64",,,0
"  %188 = extractelement <2 x i64> %147# i32 0",,,0
"  %189 = add nsw i64 %188# %93",,,0
"  %194 = add nsw <2 x i32> %146# %136",,,1
"  %195 = extractelement <2 x i32> %194# i32 0",,,0
"  %196 = sext i32 %195 to i64",,,0
"  %201 = add nsw <2 x i32> %160# %136",,,1
"  %202 = extractelement <2 x i32> %201# i32 0",,,0
"  %203 = sext i32 %202 to i64",,,0
"  %210 = add i64 %138# 2",,,0
"  %219 = add nsw i64 %217# -1",,,0
"  %220 = add nsw i64 %219# %90",,,0
"  %223 = add nsw i32 %218# %94",,,0
"  %224 = sext i32 %223 to i64",,,0
"  %228 = add nuw nsw i64 %217# 1",,,0
"  %229 = add nuw nsw i32 %218# 1",,,0
"  %230 = add nsw i32 %229# %94",,,0
"  %231 = sext i32 %230 to i64",,,0
"  %235 = add nsw i64 %219# %91",,,0
"  %239 = add nsw i32 %218# %95",,,0
"  %240 = sext i32 %239 to i64",,,0
"  %244 = add nsw i32 %229# %95",,,0
"  %245 = sext i32 %244 to i64",,,0
"  %249 = add nsw i64 %219# %93",,,0
"  %253 = add nsw i32 %218# %96",,,0
"  %254 = sext i32 %253 to i64",,,0
"  %258 = add nsw i32 %229# %96",,,0
"  %259 = sext i32 %258 to i64",,,0
"  %46 = mul i32 %44# %1",,,0
"  %47 = add i32 %13# %46",,,0
"  %48 = sext i32 %47 to i64",,,0
"  %51 = mul i64 %9# %43",,,0
"  %53 = add i64 %14# %51",,,0
"  %55 = mul i64 %16# %43",,,0
"  %56 = shl i64 %55# 32",,,0
"  %57 = add i64 %56# 4294967296",,,0
"  %58 = ashr exact i64 %57# 32",,,0
